golden:
case COND_RESULT_UNSET: return COND_RESULT_UNSET; default: break;
inference:

#endif
return COND_RESULT_FALSE;
/* try to handle the device ->->parent->parent->key. */ if (con->conf.log_condition_handling) log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) &return COND_RESULT_FALSE;
if (config_check_cond_cached(srv, con, dc->context->key) == COND_RESULT_FALSE) &return COND_RESULT_FALSE;
/* skip for all dummy rules */ if (!dc->cond_cache[dc->context_ndx].result) <config_check_cond_cache(srv, con, dc->context_ndx); /* skip for dummy rules */ if (dc->dummy) &config_check_cond_cached(srv, con, dc->dummy) == COND_RESULT_FALSE) return COND_RESULT_FALSE;
case COND_SUPPORTS_KERB_POLLING: /* check parent first */ if (dc->parent && dc->parent->context_ndx) &if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) <return COND_RESULT_FALSE; &if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[d
case COND_RESULT_TEST: case COND_RESULT_TEST: if (!con->cond_cache[dc->context_ndx].result) <log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key); </* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_UNSET; /* pass the rules */ switch (dc->comp) case COND_RESULT_FALSE: break; case COND_RESULT_FALSE: if (con->conf.log
case COND_RESULT_TEST: case COND_RESULT_TEST: if (!con->cond_cache[dc->context_ndx].result) &log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key); /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_UNSET; /* pass the rules */ switch (dc->comp) case COND_RESULT_FALSE: break; case COND_RESULT_FALSE: if (con->conf.log
case COND_RESULT_DEAD_UNSET: /* pass the rules */ switch (dc->dd_dialog) <case COND_RESULT_DEAD_SLOT: if (config_check_cond_cached(srv, con, dc->dd_flags) == COND_RESULT_FALSE) &if (config_check_cond_cached(srv, con, dc->dd_flags) == COND_RESULT_FALSE) &return COND_RESULT_FALSE; &if (dc->dd_flags) config_check_cond_cached(srv, con, dc->dd_flags); if (dc->dd_flags) if (dc->dd_flags) config_check_cond_cached(srv, con, dc->dd_f
if (con->conf.log_condition_handling &&!con->conf.log_condition_handling) <if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_FALSE; /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) config_check_cond_cached(srv, con, dc->context_ndx); if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_
if (dc->parent) &if (con->conf.log_condition_handling) log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); &<if (dc->prev) if (con->conf.log_condition_handling) log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key); /* make sure prev is checked first */ if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) return COND_RESULT_FALSE; if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d]
case COND_RESULT_FALSE: if (dc->context_ndx) log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) &return COND_RESULT_FALSE; &if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con
/* XXX Check the client before returning a parent. */ if (!con->cond_cache[dc->context_ndx].result) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_FALSE;
case COND_RESULT_NON_COND: if (con->conf.log_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE) return COND_RESULT_FALSE; &if (dc->prev) if (con->conf.log_condition_handling) &TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE;
<if (dc->parent) log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); <if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) &return COND_RESULT_FALSE;
/* let the parent set it back */ config_check_cond_cached(srv, con, dc->parent->key, con->conf.conf.comp_key); /* check this */ if (!dc->result_flags) &if (dc->result_flags) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_FALSE;
if (con->conf.log_state & COND_RESULT_FALSE) if (config_check_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE) return COND_RESULT_FALSE; <<if (dc->prev) if (con->conf.log_state & COND_RESULT_FALSE) if (con->conf.log_state & COND_RESULT_FALSE) log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key); /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->cond_state].result) log_error_write(srv, __
case COND_RESULT_FALSE: if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE;
case COND_RESULT_DEAD_UNSET: /* pass the rules */ switch (dc->dd_dialog) &case COND_RESULT_DEAD_SLOT: if (config_check_cond_cached(srv, con, dc->dd_flags) == COND_RESULT_FALSE) if (config_check_cond_cached(srv, con, dc->dd_flags) == COND_RESULT_FALSE) return COND_RESULT_FALSE; <if (dc->dd_flags) config_check_cond_cached(srv, con, dc->dd_flags); if (dc->dd_flags) if (dc->dd_flags) config_check_cond_cached(srv, con, dc->dd_f
/* check the name of a non-zero address. */ if (con->conf.context_ndx == NULL) </* only need to get the name of the object in the local domain. */ if (con->conf.log_condition_handling == COND_RESULT_FALSE) if (con->conf.log_condition_handling == COND_RESULT_FALSE) config_check_cond_cached(srv, con, dc->parent->key); &if (con->conf.log_condition_handling == COND_RESULT_FALSE) config_check_cond_cached(srv, con, dc->parent->key); if (dc->prev) if (dc->prev) config_check_cond_cached(srv, con, dc->prev); if (dc->comp == CON
/* XXX should not do this, just try to check the dummy buffer. */ if (con->conf.log_condition_handling) <splx(s); return COND_RESULT_FALSE;
/* * try to resolve the first '%s' to the client */ if (con->conf.context_ndx && con->conf.context_ndx->parent) if (con->conf.context_ndx->parent) &log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) <return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (con->conf.log_condition
/* make sure dc->prev is checked first */ if (dc->conf.log_condition_handling && con->conf.log_condition_handling) &config_check_cond_cached(srv, con, con->dc->prev); /* one of prev set me to FALSE */ if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_FALSE; &if (dc->dc->srv) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (con->conf.log_condition_hand
/* try to handle the device ->->parent->parent->key. */ if (con->conf.log_condition_handling) log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); <if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) return COND_RESULT_FALSE;
if (dc->dc_flags & DD_NO_CREAT) /* all the prev keys in the prev will have to be checked */ if (!con->cond_cache[dc->dc_flags].result) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional
/* if (dc->cond_cache[dc->cond_cache[dc->context_ndx].name) <if (con->conf.log_condition_handling) &if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE;
if (con->conf.log_condition_handling &&!con->conf.log_condition_handling) <if (con->conf.log_condition_handling) &TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE; </* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) config_check_cond_cached(srv, con, dc->context_ndx); if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_
case COND_RESULT_FALSE: if (dc->context_ndx) &log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); <if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) <return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con
if (con->conf.log_condition_handling &&!con->conf.log_condition_handling) &if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE; &/* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) config_check_cond_cached(srv, con, dc->context_ndx); if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_
if (dc->flags & D_ERROR) if (dc->cache_reflags) if (dc->cache_reflags) <if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);
if (srv == -1) srv = &srv->srv_socket; &if (!srv->srv_socket) if (dc->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", srv->srv_socket, con->srv_socket); return COND_RESULT_FALSE;
if (srv == -1) if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_FALSE;
/* * get a dummy case. */ if (!dc->si_is_valid(dc->si_comp)) <if (con->conf.log_condition_handling) &TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE; /* get dummy case. */ config_check_cond_cached(srv, con, dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->d
case COND_RESULT_NON_COND: if (con->conf.log_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE) &return COND_RESULT_FALSE; if (dc->prev) &if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE;
if (con->conf.log_condition_handling &&!con->cond_cache[dc->context_ndx].result) <if (con->conf.log_condition_handling && con->cond_cache[dc->context_ndx].result) &/* check parent first */ return COND_RESULT_FALSE; &if (dc->parent && con->conf.log_condition_handling) <log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("
/* skip for all dummy rules */ if (!dc->cond_cache[dc->context_ndx].result) <config_check_cond_cache(srv, con, dc->context_ndx); /* skip for dummy rules */ if (dc->dummy) config_check_cond_cached(srv, con, dc->dummy) == COND_RESULT_FALSE) &return COND_RESULT_FALSE;
/* make sure prev is checked first */ if (COND_RESULT_FALSE == con->cond_cache[dc->comp].result) config_check_cond_cached(srv, con, dc->prev); /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->prev->key]) <config_check_cond_cached(srv, con, dc->prev); /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->prev->key]) <if (COND_RESULT_FALSE == con->cond_cache[dc->prev->key]) config_check_cond_cached(srv, con, con->prev); /* one
/* handle connection flags */ if (config_check_cond_flags) if (con->conf.log_condition_handling) log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) <return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET; if (dc->prev) if (config_check_cond_cached(srv, con, dc->parent
<if (!con->conf.log_condition_handling) &TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);
if (con->conf.stats_check) &if (con->conf.stats_check) &/* pass the rules */ switch (dc->comp) <case COND_RESULT_FALSE: &if (dc->dc->flags & COND_RESULT_FALSE) return COND_RESULT_FALSE;
if (config_check_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE) &return COND_RESULT_FALSE; if (!con->conditional_is_valid[dc->comp]) <if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE;
/* not initialized */ if (con->conf.cond_cache[dc->context_ndx].pci_v) /* we have to allocate the cache to pci. This * doesn't happen yet, if we've just deleted it yet */ if (con->conf.cond_cache[dc->context_ndx].pci_v) &/* get the cache */ if (con->conf.cond_cache[dc->context_ndx].pci_v) &/* get the cache */ </* * Set pci is the pci. It will be used by pci. We don't allow * an internal conflict between prev and pci. */ if (dc->conf.cond_cache[dc->context_ndx].pci_v) /* make sure prev is checked first */ if (con->conf.cond_cache[d
if (con->conf.log_cond_flags & CF_FRAG_FRAG_POLLING) <fprintf(stderr, "cond_cond_nocache: config_check_cond_nocache %dn", con->cond_cache[dc->context_ndx].result); return COND_RESULT_FALSE; &if (dc->dc.debug) fprintf(stderr, "cond_cond_cache %dn", con->dc->dc.debug); return COND_RESULT_FALSE;
if (con->conf.verbose) if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) <return COND_RESULT_FALSE; <<if (dc->prev) if (con->conf.log_condition_handling) log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key); /* make sure prev is checked first */ if (COND_RESULT_FALSE == con->cond_cache[dc->prev->key]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); else /* invalid or disabled
&if (!con->cond_cache[dc->context_ndx].flags & COND_RESULT_FALSE) <if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE;
if (con->conf.log_condition_handling &&!con->conf.log_condition_handling) &if (con->conf.log_condition_handling) &TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE; </* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) config_check_cond_cached(srv, con, dc->context_ndx); if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_
/* check for parent is valid */ if (con->conf.log_condition_handling && con->conf.log_condition_handling && con->conf.log_condition_handling && con->conf.log_condition_handling) &log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", con->parent->key); <if (config_check_cond_cached(srv, con, con->conf.log_condition_handling) == COND_RESULT_FALSE) return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", con->comp, con->conditional_is_valid[dc->prev->key]); return COND_RESULT_FALSE;
/* pass the rules */ switch (dc->comp) <case COMP_DTOR:
&if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);
/* make sure prev is checked first */ if (COND_RESULT_FALSE == con->cond_cache[dc->comp].result) &config_check_cond_cached(srv, con, dc->prev); /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->prev->key]) <config_check_cond_cached(srv, con, dc->prev); /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->prev->key]) if (COND_RESULT_FALSE == con->cond_cache[dc->prev->key]) &config_check_cond_cached(srv, con, con->prev); /* one
case COND_RESULT_DEAD_UNSET: /* pass the rules */ switch (dc->dd_dialog) <case COND_RESULT_DEAD_SLOT: if (config_check_cond_cached(srv, con, dc->dd_flags) == COND_RESULT_FALSE) &if (config_check_cond_cached(srv, con, dc->dd_flags) == COND_RESULT_FALSE) return COND_RESULT_FALSE; &if (dc->dd_flags) config_check_cond_cached(srv, con, dc->dd_flags); if (dc->dd_flags) if (dc->dd_flags) config_check_cond_cached(srv, con, dc->dd_f
<if (con->conf.log_condition_handling) &TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);
if (con->conf.stats_check) <if (con->conf.stats_check) /* pass the rules */ switch (dc->comp) &case COND_RESULT_FALSE: &if (dc->dc->flags & COND_RESULT_FALSE) return COND_RESULT_FALSE;
if (dc->context_ndx) <log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) &return COND_RESULT_FALSE; &if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (dc->parent) config_check_cond_cached(srv, con, dc->parent);
<if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) &return COND_RESULT_FALSE;
case COMP_UNSET: if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_FALSE; </* break the rule */ if (!con->conditional_is_valid[dc->comp]) &if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET; if (dc->context_ndx) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET;
/* make sure dc->prev is checked first */ if (dc->conf.log_condition_handling && con->conf.log_condition_handling) &config_check_cond_cached(srv, con, con->dc->prev); /* one of prev set me to FALSE */ if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (dc->dc->srv) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (con->conf.log_condition_hand
case COND_RESULT_NON_COND: if (con->conf.log_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE) &return COND_RESULT_FALSE; <if (dc->prev) <if (con->conf.log_condition_handling) &TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE;
<else &log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
if (srv == -1) &srv = &&srv->srv_socket; &if (!srv->srv_socket) &if (dc->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", srv->srv_socket, con->srv_socket); return COND_RESULT_FALSE;
case COMP_UNSET: if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE; &/* break the rule */ if (!con->conditional_is_valid[dc->comp]) <if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET; if (dc->context_ndx) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET;
if (dc->prev) &if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_FALSE; <if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET;
if (dc->parent->key == COND_RESULT_FALSE) if (con->conf.log_condition_handling) if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_FALSE;
if (con->conf.log_condition_handling &&!con->cond_cache[dc->context_ndx].result) if (con->conf.log_condition_handling && con->cond_cache[dc->context_ndx].result) /* check parent first */ return COND_RESULT_FALSE; &if (dc->parent && con->conf.log_condition_handling) log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("
case COND_RESULT_FALSE: if (dc->context_ndx) &log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) &return COND_RESULT_FALSE; <if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con
/* * If we have to set a variable, or a variable that is set, use default - to prevent any cases in the next config. */ if (con->conf.comp_state == COND_COND_COND_UNSET) <if (con->conf.log_condition_handling) &TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; &if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET;
/* check the name of a non-zero address. */ if (con->conf.context_ndx == NULL) </* only need to get the name of the object in the local domain. */ if (con->conf.log_condition_handling == COND_RESULT_FALSE) if (con->conf.log_condition_handling == COND_RESULT_FALSE) <config_check_cond_cached(srv, con, dc->parent->key); <if (con->conf.log_condition_handling == COND_RESULT_FALSE) config_check_cond_cached(srv, con, dc->parent->key); if (dc->prev) if (dc->prev) config_check_cond_cached(srv, con, dc->prev); if (dc->comp == CON
if (dc->parent) &config_check_cond_cached(srv, con, dc->parent);
/* freed cache if possible */ if (con->conf.log_cond_handling) return COND_RESULT_FALSE; <if (dc->prev) if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET;
/* handle connection flags */ if (config_check_cond_flags) <if (con->conf.log_condition_handling) log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); <if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) &return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET; if (dc->prev) if (config_check_cond_cached(srv, con, dc->parent
&if (!con->cond_cache[dc->context_ndx].flags & COND_RESULT_FALSE) <if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE;
case COMP_OK: /* check if dc->sockets are valid */ case COMP_OK: /* check if this isn't possible */ if (con->conf.log_condition_handling) &log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); <if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) &return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key); /* one of prev set me to FALSE */ if (COND_RESUL
/* let the parent set it back */ config_check_cond_cached(srv, con, dc->parent->key, con->conf.conf.comp_key); /* check this */ if (!dc->result_flags) &if (dc->result_flags) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE;
if (con->conf.log_condition_handling &&!con->conf.log_condition_handling) <if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_FALSE; </* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) config_check_cond_cached(srv, con, dc->context_ndx); if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_
<else config_check_cond_nocache(srv, con, dc->context_ndx);
/* freed cache if possible */ if (con->conf.log_cond_handling) <return COND_RESULT_FALSE; if (dc->prev) <if (con->conf.log_condition_handling) &TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET;
/* let the parent set it back */ config_check_cond_cached(srv, con, dc->parent->key, con->conf.conf.comp_key); /* check this */ if (!dc->result_flags) <if (dc->result_flags) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE;
case COND_RESULT_NON_COND: if (con->conf.log_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE) <return COND_RESULT_FALSE; <if (dc->prev) if (con->conf.log_condition_handling) &TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE;
if (con->conf.log_state & COND_RESULT_TRUE) <log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
if (!dc->conf.cond_cache[dc->context_ndx].result) &if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE;
if (con->conf.log_condition_handling && COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) &TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE; if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE;
